Name,Value,Team
Nick Pope,10450000.0,Burnley FC
Joe Hart,2640000.0,Burnley FC
Bailey Peacock-Farrell,1320000.0,Burnley FC
Adam Legzdins,275000.0,Burnley FC
James Tarkowski,22000000.0,Burnley FC
Ben Mee,8800000.0,Burnley FC
Ben Gibson,7150000.0,Burnley FC
Kevin Long,1760000.0,Burnley FC
Charlie Taylor,4400000.0,Burnley FC
Erik Pieters,4400000.0,Burnley FC
Matthew Lowton,4400000.0,Burnley FC
Phil Bardsley,880000.0,Burnley FC
Jack Cork,13200000.0,Burnley FC
Ashley Westwood,6050000.0,Burnley FC
Jeff Hendrick,9900000.0,Burnley FC
Josh Brownhill,6050000.0,Burnley FC
Robbie Brady,5280000.0,Burnley FC
Dwight McNeil,19800000.0,Burnley FC
Jóhann Berg Gudmundsson,8800000.0,Burnley FC
Aaron Lennon,2640000.0,Burnley FC
Chris Wood,15950000.0,Burnley FC
Ashley Barnes,8800000.0,Burnley FC
Jay Rodríguez,5280000.0,Burnley FC
Matej Vydra,4400000.0,Burnley FC
Tim Krul,4400000.0,Norwich City
Michael McGovern,330000.0,Norwich City
Ben Godfrey,12650000.0,Norwich City
Christoph Zimmermann,3080000.0,Norwich City
Grant Hanley,2200000.0,Norwich City
Timm Klose,2200000.0,Norwich City
Sean Raggett,275000.0,Norwich City
Jamal Lewis,12100000.0,Norwich City
Sam McCallum,0,Norwich City
Max Aarons,22000000.0,Norwich City
Sam Byram,3080000.0,Norwich City
Tom Trybull,3520000.0,Norwich City
Alexander Tettey,1760000.0,Norwich City
Louis Thompson,275000.0,Norwich City
Kenny McLean,3850000.0,Norwich City
Lukas Rupp,2640000.0,Norwich City
Moritz Leitner,2640000.0,Norwich City
Mario Vrancic,2200000.0,Norwich City
Todd Cantwell,22000000.0,Norwich City
Josh Coley,110000.0,Norwich City
Ondrej Duda,11550000.0,Norwich City
Marco Stiepermann,3520000.0,Norwich City
Onel Hernández,3520000.0,Norwich City
Emiliano Buendía,15950000.0,Norwich City
Teemu Pukki,8800000.0,Norwich City
Josip Drmic,1760000.0,Norwich City
Carlton Morris,165000.0,Norwich City
Mason Bloomfield,83000.0,Norwich City
Name,Value,Team
Nick Pope,10450000.0,Burnley FC
Joe Hart,2640000.0,Burnley FC
Bailey Peacock-Farrell,1320000.0,Burnley FC
Adam Legzdins,275000.0,Burnley FC
